Stock,Country,Gear Type,2007,S_2007,2008,S_2008,2009,S_2009
Albacore in the South Pacific,Fiji,Longlines (nei),7145,,7650,,7166,
Albacore in the South Pacific,French Polynesia,Gear not known,10,,160,,211,
Albacore in the South Pacific,French Polynesia,Longlines (nei),3957,,3068,,3560,
Albacore in the South Pacific,French Polynesia,Mechanized lines and pole-and-lines,17,,12,,21,
Albacore in the South Pacific,Marshall Islands,Longlines (nei),0,-,15,,10,
Albacore in the South Pacific,"Micronesia, Fed.States of",Longlines (nei),0,-,0,-,40,
Albacore in the South Pacific,New Caledonia,Longlines (nei),1324,,1506,,1649,
Albacore in the South Pacific,New Zealand,Longlines (nei),357,,382,,422,
Albacore in the South Pacific,New Zealand,Trolling lines,1736,,3352,,1794,
Albacore in the South Pacific,Niue,Longlines (nei),137,,7,,147,
Albacore in the South Pacific,Papua New Guinea,Longlines (nei),1598,,464,,906,
Albacore in the South Pacific,Samoa,Longlines (nei),3113,,2342,,2816,
Albacore in the South Pacific,Tonga,Longlines (nei),390,,220,,124,
Albacore in the South Pacific,Vanuatu,Longlines (nei),10880,,9055,,12139,
Albacore Indian Ocean,Guinea,Longlines (nei),75,,39,,34,
Albacore Indian Ocean,Madagascar,Longlines (nei),33,,25,,24,
Albacore Indian Ocean,Mauritius,Gear not known,238,,216,,281,
Albacore Indian Ocean,Mauritius,Longlines (nei),74,,18,,0,-
Albacore Indian Ocean,Seychelles,Longlines (nei),373,,800,,347,
Albacore Indian Ocean,Seychelles,Purse seines,136,,128,,10,
Albacore Indian Ocean,South Africa,Gear not known,0,-,5,,5,
Albacore Indian Ocean,South Africa,Longlines (nei),15,,28,,24,
Albacore Indian Ocean,"Tanzania, United Rep. of",Longlines (nei),75,,39,,34,
Albacore Indian Ocean,Belize,Longlines (nei),886,,296,,161,
Albacore Indian Ocean,China,Longlines (nei),117,,158,,388,
Albacore Indian Ocean,India,Longlines (nei),226,,109,,163,
Albacore Indian Ocean,Indonesia,Gear not known,314,,743,,1163,
Albacore Indian Ocean,Indonesia,Longlines (nei),13434,,17135,,14111,
Albacore Indian Ocean,Japan,Longlines (nei),5263,,4814,,3568,
Albacore Indian Ocean,"Korea, Republic of",Longlines (nei),126,,119,,325,
Albacore Indian Ocean,Malaysia,Longlines (nei),350,,285,,202,
Albacore Indian Ocean,Philippines,Longlines (nei),152,,150,,71,
Albacore Indian Ocean,Sri Lanka,Longlines (nei),1,,0,-,0,-
Albacore Indian Ocean,Taiwan Province of China,Longlines (nei),16881,,15318,,14200,
Albacore Indian Ocean,Thailand,Longlines (nei),115,,23,,24,
Albacore Indian Ocean,France,Gear not known,39,,18,,2,
Albacore Indian Ocean,France,Longlines (nei),754,,542,,569,
Albacore Indian Ocean,France,Purse seines,335,,980,,295,
Albacore Indian Ocean,Portugal,Longlines (nei),29,,6,,2,
Albacore Indian Ocean,Spain,Longlines (nei),624,,285,,487,
Albacore Indian Ocean,Spain,Purse seines,246,,299,,52,
Albacore Indian Ocean,United Kingdom,Longlines (nei),14,,10,,9,
Albacore Indian Ocean,Australia,Longlines (nei),12,,10,,20,
Albacore Indian Ocean,Vanuatu,Longlines (nei),0,-,0,-,91,
Atlantic bluefin tuna Global,Algeria,Gear not known,107,,888,,0,-
Atlantic bluefin tuna Global,Algeria,Longlines (nei),754,,339,,0,-
Atlantic bluefin tuna Global,Algeria,Purse seines,650,,84,,0,-
Atlantic bluefin tuna Global,Libya,Longlines (nei),158,,51,,34,
Atlantic bluefin tuna Global,Libya,Purse seines,1200,,1267,,1047,
Atlantic bluefin tuna Global,Morocco,Gear not known,2436,,1950,,1911,
Atlantic bluefin tuna Global,Morocco,Longlines (nei),108,,528,,0,-
Atlantic bluefin tuna Global,Morocco,Purse seines,515,,0,-,367,
Atlantic bluefin tuna Global,Tunisia,Gear not known,4,,0,-,0,-
Atlantic bluefin tuna Global,Tunisia,Purse seines,2618,,2679,,1933,
Atlantic bluefin tuna Global,Canada,Gear not known,433,,546,,468,
Atlantic bluefin tuna Global,Canada,Longlines (nei),58,,30,,65,
Atlantic bluefin tuna Global,Mexico,Longlines (nei),7,,7,,10,
Atlantic bluefin tuna Global,St. Pierre and Miquelon,Longlines (nei),4,,3,,2,
Atlantic bluefin tuna Global,United States of America,Gear not known,657,,689,,926,
Atlantic bluefin tuna Global,United States of America,Longlines (nei),173,,233,,334,
Atlantic bluefin tuna Global,United States of America,Purse seines,28,,0,-,11,
Atlantic bluefin tuna Global,China,Longlines (nei),72,,119,,42,
Atlantic bluefin tuna Global,Cyprus,Gear not known,0,-,3,,0,-
Atlantic bluefin tuna Global,Cyprus,Longlines (nei),1,,2,,2,
Atlantic bluefin tuna Global,Cyprus,Purse seines,0,-,127,,0,-
Atlantic bluefin tuna Global,Japan,Longlines (nei),2355,,2923,,2084,
Atlantic bluefin tuna Global,"Korea, Republic of",Purse seines,276,,335,,102,
Atlantic bluefin tuna Global,Syrian Arab Republic,Longlines (nei),33,,15,,0,-
Atlantic bluefin tuna Global,Syrian Arab Republic,Purse seines,17,,26,,0,-
Atlantic bluefin tuna Global,Turkey,Purse seines,918,,879,,665,
Atlantic bluefin tuna Global,Croatia,Gear not known,8,,8,,7,
Atlantic bluefin tuna Global,Croatia,Longlines (nei),0,-,4,,2,
Atlantic bluefin tuna Global,Croatia,Purse seines,817,,821,,609,
Atlantic bluefin tuna Global,France,Gear not known,1115,,319,,464,
Atlantic bluefin tuna Global,France,Longlines (nei),1,,0,-,9,
Atlantic bluefin tuna Global,France,Mechanized lines and pole-and-lines,128,,67,,62,
Atlantic bluefin tuna Global,France,Purse seines,9543,,2536,,2918,
Atlantic bluefin tuna Global,Greece,Gear not known,7,,93,,66,
Atlantic bluefin tuna Global,Greece,Longlines (nei),31,,50,,109,
Atlantic bluefin tuna Global,Greece,Purse seines,247,,207,,198,
Atlantic bluefin tuna Global,Iceland,Purse seines,0,-,50,,0,-
Atlantic bluefin tuna Global,Ireland,Gear not known,0,-,1,,1,
Atlantic bluefin tuna Global,Italy,Gear not known,93,,166,,202,
Atlantic bluefin tuna Global,Italy,Longlines (nei),217,,216,,193,
Atlantic bluefin tuna Global,Italy,Purse seines,4311,,1854,,2339,
Atlantic bluefin tuna Global,Malta,Longlines (nei),144,,165,,263,
Atlantic bluefin tuna Global,Malta,Purse seines,190,,131,,0,-
Atlantic bluefin tuna Global,Portugal,Gear not known,23,,24,,47,
Atlantic bluefin tuna Global,Portugal,Longlines (nei),5,,12,,5,
Atlantic bluefin tuna Global,Portugal,Mechanized lines and pole-and-lines,1,,0,-,0,-
Atlantic bluefin tuna Global,Spain,Gear not known,1378,,1215,,1223,
Atlantic bluefin tuna Global,Spain,Longlines (nei),759,,815,,590,
Atlantic bluefin tuna Global,Spain,Mechanized lines and pole-and-lines,1903,,1728,,1197,
Atlantic bluefin tuna Global,Spain,Purse seines,1649,,1645,,1167,
Atlantic bluefin tuna Global,Spain,Trolling lines,0,-,1,,0,-
Atlantic bluefin tuna Global,United Kingdom,Gear not known,0,-,0,-,1,
Bigeye tuna Global,Cabo Verde,Gear not known,0,-,1,,3,
Bigeye tuna Global,Cabo Verde,Purse seines,1147,,1068,,824,
Bigeye tuna Global,Comoros,Gear not known,21,,28,,28,
Bigeye tuna Global,Comoros,Trolling lines,14,,19,,19,
Bigeye tuna Global,Côte d'Ivoire,Longlines (nei),0,-,0,-,790,
Bigeye tuna Global,Equatorial Guinea,Gear not known,0,-,0,-,50,
Bigeye tuna Global,Ghana,Mechanized lines and pole-and-lines,4925,,6367,,4465,
Bigeye tuna Global,Ghana,Purse seines,8342,,2902,,6089,
Bigeye tuna Global,Guinea,Longlines (nei),12,,18,,17,
Bigeye tuna Global,Kenya,Longlines (nei),17,,23,,9,
Bigeye tuna Global,Madagascar,Longlines (nei),32,,23,,22,
Bigeye tuna Global,Madagascar,Trolling lines,31,,30,,33,
Bigeye tuna Global,Mauritius,Longlines (nei),11,,5,,1,
Bigeye tuna Global,Morocco,Longlines (nei),700,,802,,795,
Bigeye tuna Global,Namibia,Longlines (nei),26,,112,,48,
Bigeye tuna Global,Namibia,Mechanized lines and pole-and-lines,15,,34,,60,
Bigeye tuna Global,Saint Helena,Gear not known,18,,28,,17,
Bigeye tuna Global,Sao Tome and Principe,Gear not known,0,-,4,,4,
Bigeye tuna Global,Sao Tome and Principe,Purse seines,0,-,86,,88,
Bigeye tuna Global,Sao Tome and Principe,Trolling lines,0,-,2,,2,
Bigeye tuna Global,Senegal,Longlines (nei),3,,0,-,0,-
Bigeye tuna Global,Senegal,Mechanized lines and pole-and-lines,804,,926,,1041,
Bigeye tuna Global,Senegal,Trolling lines,0,-,0,-,1,
Bigeye tuna Global,Seychelles,Longlines (nei),5646,,4392,,4463,
Bigeye tuna Global,Seychelles,Purse seines,3858,,5369,,6822,
Bigeye tuna Global,South Africa,Gear not known,8,,2,,0,-
Bigeye tuna Global,South Africa,Longlines (nei),227,,365,,323,
Bigeye tuna Global,South Africa,Mechanized lines and pole-and-lines,15,,23,,32,
Bigeye tuna Global,"Tanzania, United Rep. of",Longlines (nei),12,,18,,17,
Bigeye tuna Global,Barbados,Gear not known,2,,2,,2,
Bigeye tuna Global,Barbados,Longlines (nei),12,,12,,5,
Bigeye tuna Global,Belize,Longlines (nei),461,,367,,434,
Bigeye tuna Global,Brazil,Gear not known,17,,14,,88,
Bigeye tuna Global,Brazil,Longlines (nei),928,,785,,1009,
Bigeye tuna Global,Brazil,Mechanized lines and pole-and-lines,650,,159,,93,
Bigeye tuna Global,Canada,Gear not known,6,,24,,5,
Bigeye tuna Global,Canada,Longlines (nei),137,,107,,107,
Bigeye tuna Global,Chile,Gear not known,37,,28,,15,
Bigeye tuna Global,Costa Rica,Longlines (nei),15,,16,,13,
Bigeye tuna Global,Ecuador,Longlines (nei),0,-,360,,485,
Bigeye tuna Global,Ecuador,Purse seines,40445,,41177,,35646,
Bigeye tuna Global,Grenada,Longlines (nei),10,,31,,0,-
Bigeye tuna Global,Guatemala,Purse seines,836,,998,,913,
Bigeye tuna Global,Mexico,Longlines (nei),3,,1,,1,
Bigeye tuna Global,Mexico,Purse seines,0,-,327,,1334,
Bigeye tuna Global,Netherlands Antilles,Purse seines,252,,1721,,2348,
Bigeye tuna Global,Nicaragua,Purse seines,1058,,1785,,2241,
Bigeye tuna Global,Panama,Purse seines,9951,,13281,,14212,
Bigeye tuna Global,Saint Vincent/Grenadines,Longlines (nei),567,,171,,291,
Bigeye tuna Global,St. Pierre and Miquelon,Longlines (nei),2,,3,,0,-
Bigeye tuna Global,Trinidad and Tobago,Longlines (nei),27,,69,,56,
Bigeye tuna Global,United States of America,Gear not known,477,,228,,221,
Bigeye tuna Global,United States of America,Longlines (nei),6396,,6486,,5151,
Bigeye tuna Global,United States of America,Trolling lines,64,,75,,60,
Bigeye tuna Global,Uruguay,Longlines (nei),22,,27,,201,
Bigeye tuna Global,"Venezuela, Boliv Rep of",Longlines (nei),84,,6,,102,
Bigeye tuna Global,"Venezuela, Boliv Rep of",Mechanized lines and pole-and-lines,14,,14,,5,
Bigeye tuna Global,"Venezuela, Boliv Rep of",Purse seines,5648,,7323,,8601,
Bigeye tuna Global,China,Longlines (nei),24711,,21790,,21681,
Bigeye tuna Global,India,Longlines (nei),3585,,1700,,3913,
Bigeye tuna Global,Indonesia,Gear not known,4580,,5226,,7799,
Bigeye tuna Global,Indonesia,Longlines (nei),13505,,16070,,12202,
Bigeye tuna Global,Indonesia,Mechanized lines and pole-and-lines,2180,,3038,,1812,
Bigeye tuna Global,Indonesia,Purse seines,237,,295,,286,
Bigeye tuna Global,Indonesia,Trolling lines,525,,655,,633,
Bigeye tuna Global,Iran (Islamic Rep. of),Gear not known,575,,1236,,1956,
Bigeye tuna Global,Iran (Islamic Rep. of),Purse seines,55,,23,,0,-
Bigeye tuna Global,Japan,Gear not known,68,,93,,105,
Bigeye tuna Global,Japan,Longlines (nei),76214,,64865,,57619,
Bigeye tuna Global,Japan,Mechanized lines and pole-and-lines,1977,,1604,,1570,
Bigeye tuna Global,Japan,Purse seines,987,,965,,1571,
Bigeye tuna Global,Japan,Trolling lines,124,,138,,115,
Bigeye tuna Global,"Korea, Republic of",Longlines (nei),19124,,24255,,24618,
Bigeye tuna Global,Malaysia,Longlines (nei),893,,1322,,1180,
Bigeye tuna Global,Maldives,Mechanized lines and pole-and-lines,932,,1102,,1004,
Bigeye tuna Global,Philippines,Gear not known,3547,,3074,,3565,
Bigeye tuna Global,Philippines,Longlines (nei),4531,,3809,,2473,
